Date,AXISBANK.NS,BAJAJ-AUTO.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HEROMOTOCO.NS,INDUSINDBK.NS,ITC.NS,LT.NS,M&M.NS,NTPC.NS,POWERGRID.NS,TECHM.NS,ULTRACEMCO.NS,WIPRO.NS
2015-03-02,629.459228515625,1785.0263671875,3201.241455078125,88.29082489013672,566.8720092773438,432.9720153808594,2216.54248046875,916.751953125,194.92108154296875,1099.5946044921875,595.2288818359375,113.04293823242188,134.18759155273438,644.025390625,3324.898681640625,228.98208618164062
2015-03-03,613.7603759765625,1822.24560546875,3221.328125,88.30156707763672,568.365234375,434.3302307128906,2226.634765625,911.025390625,193.9559783935547,1102.9002685546875,573.5740356445312,112.47566986083984,133.2028350830078,654.9348754882812,3316.068115234375,231.72137451171875
2015-03-04,595.6314697265625,1826.204345703125,3204.83349609375,87.45936584472656,552.0153198242188,435.35662841796875,2214.60009765625,881.5184326171875,195.48922729492188,1094.7164306640625,564.0039672851562,111.62519073486328,132.26083374023438,648.4046630859375,3266.19140625,227.25912475585938
2015-03-05,599.5682373046875,1823.2352294921875,3253.088623046875,86.99565887451172,538.0686645507812,441.5577697753906,2203.78955078125,886.3714599609375,196.6246795654297,1087.6580810546875,572.1769409179688,112.0861587524414,132.8602752685547,648.1002197265625,3147.050537109375,230.1187744140625
2015-03-09,575.072265625,1815.66259765625,3277.71240234375,83.31364440917969,527.5121459960938,441.7074279785156,2195.17529296875,868.9003295898438,192.13909912109375,1049.6865234375,562.00146484375,107.58540344238281,129.23899841308594,633.0592041015625,3025.294677734375,227.46588134765625
2015-03-10,569.0941162109375,1832.3572998046875,3249.11865234375,82.81693267822266,525.863037109375,437.09979248046875,2210.75732421875,870.40478515625,192.25238037109375,1043.816650390625,571.9906005859375,106.27397918701172,127.73374938964844,639.4651489257812,2976.9970703125,225.4672393798828
2015-03-11,567.538818359375,1805.7227783203125,3278.137939453125,84.04835510253906,526.1686401367188,440.2859191894531,2206.53466796875,864.0472412109375,192.0539093017578,1036.2222900390625,586.9161987304688,108.96744537353516,127.21762084960938,657.8956298828125,2947.298095703125,225.62161254882812
2015-03-12,567.7817993164062,1783.7354736328125,3244.864990234375,85.04102325439453,531.8767700195312,438.92755126953125,2231.5751953125,865.6001586914062,196.8521270751953,1040.8056640625,577.9981689453125,113.18408966064453,128.72291564941406,643.3381958007812,2969.251708984375,225.8118438720703
2015-03-13,554.0757446289062,1741.00830078125,3191.6943359375,83.61612701416016,521.691162109375,430.35302734375,2204.25390625,849.4879760742188,192.73533630371094,1007.8998413085938,571.7577514648438,113.00721740722656,126.09943389892578,634.6461791992188,2907.633544921875,220.2808837890625
2015-03-16,552.7147827148438,1743.0738525390625,3131.623291015625,82.38545989990234,524.9389038085938,439.84710693359375,2222.200927734375,851.4777221679688,190.46359252929688,1000.5467529296875,568.0322265625,110.45577239990234,126.22843170166016,636.7963256835938,2874.579833984375,222.69300842285156
2015-03-17,563.8935546875,1761.747802734375,3249.260009765625,81.95323181152344,526.7734375,436.0195617675781,2239.260498046875,876.61669921875,193.07608032226562,1021.9002075195312,573.8533935546875,111.87352752685547,127.00257110595703,644.6666259765625,2889.380126953125,221.710693359375
2015-03-18,565.0114135742188,1748.02197265625,3239.4296875,82.42845153808594,521.6625366210938,429.059814453125,2259.445068359375,876.665283203125,191.1731414794922,1012.009765625,566.052978515625,108.18755340576172,126.1424331665039,630.6155395507812,2896.5830078125,217.57559204101562
2015-03-19,547.8059692382812,1742.9447021484375,3237.208251953125,84.1880874633789,513.5161743164062,418.9559326171875,2248.845947265625,855.2630615234375,189.29916381835938,1002.0924682617188,562.2808837890625,109.67587280273438,125.66935729980469,618.9287719726562,2854.451904296875,218.83358764648438
2015-03-20,540.7098388671875,1736.490478515625,3239.004638671875,81.52176666259766,514.0061645507812,419.06292724609375,2204.212158203125,860.310302734375,185.9490203857422,994.9180908203125,542.675048828125,103.12042236328125,127.47566223144531,610.9573364257812,2817.00732421875,224.8984375
2015-03-23,539.6891479492188,1748.4521484375,3269.299560546875,82.84993743896484,516.0398559570312,414.1447448730469,2227.141357421875,862.2515258789062,185.92091369628906,996.4011840820312,552.0820922851562,106.41600799560547,128.33583068847656,591.5919189453125,2791.3046875,222.29696655273438
2015-03-24,542.4595947265625,1745.2252197265625,3319.208984375,84.21034240722656,510.8713073730469,414.9786376953125,2200.1162109375,858.8543701171875,185.43792724609375,995.9901123046875,555.1324462890625,108.22327423095703,127.2606201171875,594.158935546875,2764.171142578125,224.76058959960938
2015-03-25,546.49365234375,1735.6297607421875,3318.40576171875,82.0937271118164,507.6014709472656,430.716552734375,2192.219482421875,845.459716796875,185.55120849609375,972.5194091796875,563.6546630859375,104.43184661865234,126.01338958740234,591.1866455078125,2729.14404296875,227.8104705810547
2015-03-26,529.09375,1724.8297119140625,3257.058837890625,82.31022644042969,504.5803527832031,422.2703857421875,2198.975830078125,835.0740966796875,183.0809783935547,973.5289916992188,559.3469848632812,102.05731201171875,124.80918884277344,586.5028686523438,2758.547119140625,217.74835205078125
2015-03-27,531.1350708007812,1735.6728515625,3228.417236328125,81.88874053955078,507.3958740234375,411.771240234375,2175.66650390625,854.8748779296875,180.29901123046875,999.3226928710938,553.479248046875,103.19099426269531,124.50814056396484,581.774169921875,2764.516357421875,210.94195556640625
