Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,HDFC.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,IOC.NS,JSWSTEEL.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SHREECEM.NS,TCS.NS,TITAN.NS,UPL.NS
2015-03-02,794.4172973632812,309.7177429199219,172.0570068359375,999.9966430664062,746.211669921875,513.4075317382812,858.5426635742188,293.51171875,435.7925109863281,55.3945426940918,76.69889068603516,699.748046875,3515.1015625,6421.5029296875,404.3034362792969,11241.9189453125,1146.637939453125,399.7596130371094,266.6472473144531
2015-03-03,806.6377563476562,309.8955383300781,172.34439086914062,1021.7832641601562,746.211669921875,513.7869262695312,853.0830078125,293.1759338378906,436.9623718261719,56.29487609863281,76.30276489257812,701.7406616210938,3512.449462890625,6519.0654296875,421.4018249511719,11247.3203125,1192.427978515625,403.0545654296875,263.9353332519531
2015-03-04,805.1943969726562,311.66986083984375,170.0704803466797,1014.1786499023438,746.211669921875,505.2266540527344,840.6036987304688,293.76422119140625,432.5498962402344,53.878177642822266,75.56385040283203,702.5128173828125,3483.7998046875,6706.0126953125,415.3436584472656,11035.4150390625,1179.541259765625,398.6935729980469,261.8543701171875
2015-03-05,802.4039306640625,308.697265625,171.36170959472656,1041.6285400390625,746.211669921875,514.6168823242188,862.2589721679688,292.4184265136719,427.40643310546875,55.07862854003906,75.53719329833984,703.5091552734375,3484.131591796875,6702.52294921875,413.987060546875,10952.8291015625,1158.2530517578125,393.21807861328125,265.9217224121094
2015-03-09,781.95654296875,304.74859619140625,168.63616943359375,1036.25732421875,746.211669921875,502.2388000488281,895.5673217773438,279.8470153808594,416.4630432128906,55.27607345581055,73.10713195800781,679.7723388671875,3477.075439453125,6783.685546875,406.82958984375,10903.634765625,1136.93017578125,387.3549499511719,275.2548522949219
2015-03-10,777.4340209960938,326.4884033203125,168.67987060546875,1015.85595703125,746.211669921875,499.1798400878906,878.270751953125,280.56207275390625,417.9743957519531,54.66004943847656,71.95305633544922,671.4035034179688,3453.824462890625,6795.4912109375,401.9176025390625,10818.6953125,1135.1688232421875,392.8788757324219,273.6156311035156
2015-03-11,778.4443359375,345.65386962890625,165.73321533203125,1015.3566284179688,746.211669921875,501.0294494628906,889.052490234375,279.7212219238281,414.9698791503906,53.87028503417969,70.89420318603516,685.4014282226562,3463.01123046875,6688.51416015625,400.4206237792969,10466.8623046875,1119.645263671875,387.50030517578125,268.349853515625
2015-03-12,777.5783081054688,352.9742431640625,165.4351806640625,1034.9757080078125,746.211669921875,500.1520690917969,881.3906860351562,284.3886413574219,421.834716796875,54.62057113647461,72.5320053100586,682.4623413085938,3490.240234375,6732.79296875,404.0928955078125,10495.6328125,1125.0146484375,392.10357666015625,270.4307556152344
2015-03-13,777.8670654296875,355.14862060546875,161.4402313232422,1016.2706909179688,746.211669921875,494.48468017578125,864.0941162109375,277.66131591796875,422.2339782714844,53.55437088012695,71.8273696899414,668.1406860351562,3457.565185546875,6705.32470703125,397.68389892578125,10503.5849609375,1109.25,386.43426513671875,260.56231689453125
2015-03-16,800.4312744140625,344.6333312988281,162.59906005859375,1013.2363891601562,746.211669921875,498.70562744140625,854.9639892578125,278.7120666503906,431.028564453125,53.933467864990234,69.99911499023438,655.039306640625,3454.1083984375,6684.93017578125,393.9414367675781,10493.669921875,1100.633544921875,385.3197937011719,257.5032653808594
2015-03-17,799.9982299804688,342.992431640625,165.68948364257812,1032.2901611328125,746.211669921875,501.78826904296875,855.0098876953125,281.5711669921875,426.0562744140625,54.8179931640625,71.41600799560547,667.3436279296875,3467.84130859375,6788.23291015625,400.84161376953125,10510.068359375,1109.8253173828125,391.9582214355469,263.3053894042969
2015-03-18,783.4480590820312,339.1771240234375,170.5009002685547,1034.9757080078125,746.211669921875,504.3966979980469,846.1092529296875,281.52960205078125,423.96453857421875,55.23659133911133,71.56075286865234,668.962646484375,3471.01416015625,6805.826171875,406.36175537109375,10645.0859375,1099.3704833984375,389.3900451660156,266.3946533203125
2015-03-19,803.2698974609375,338.9103698730469,166.29605102539062,1039.9229736328125,746.211669921875,499.0138244628906,846.6140747070312,277.66131591796875,424.14483642578125,55.34714889526367,72.35298156738281,660.3943481445312,3461.63818359375,6768.11328125,400.5141906738281,10824.7861328125,1115.2119140625,392.2973937988281,270.08367919921875
2015-03-20,779.3584594726562,337.4018859863281,160.4800567626953,1005.1983642578125,746.211669921875,500.76861572265625,821.9308471679688,267.9065246582031,429.27911376953125,54.35204315185547,70.15528869628906,667.3685302734375,3432.13623046875,6673.26220703125,399.55517578125,10838.6318359375,1121.5264892578125,380.5711364746094,263.1474304199219
2015-03-23,780.9461669921875,340.0642395019531,157.9088134765625,990.7146606445312,746.211669921875,496.9034423828125,828.0328979492188,263.8708801269531,424.71527099609375,54.01243591308594,69.94579315185547,665.4506225585938,3404.24365234375,6553.6533203125,393.8713073730469,10601.978515625,1124.1893310546875,378.77825927734375,264.7242431640625
2015-03-24,782.5819091796875,349.4701232910156,163.51486206054688,1012.41650390625,746.211669921875,492.2556457519531,814.08544921875,262.2724914550781,420.5317687988281,54.84959411621094,68.75362396240234,667.8915405273438,3397.51953125,6450.53369140625,396.67816162109375,10395.3759765625,1113.0899658203125,375.2894592285156,261.3502197265625
