Date,BAJFINANCE.NS,BAJAJFINSV.NS
2015-03-02,403.61285400390625,1446.1141357421875
2015-03-03,399.7857360839844,1479.6416015625
2015-03-04,398.22076416015625,1464.845458984375
2015-03-05,400.88909912109375,1523.531005859375
2015-03-09,389.1676330566406,1465.3438720703125
2015-03-10,386.1761169433594,1451.793212890625
2015-03-11,381.5779724121094,1453.0386962890625
2015-03-12,382.20587158203125,1474.2113037109375
2015-03-13,379.2604675292969,1495.4833984375
2015-03-16,369.7964782714844,1446.861328125
2015-03-17,372.4555969238281,1464.347412109375
2015-03-18,373.76214599609375,1429.5247802734375
2015-03-19,372.6033630371094,1404.61572265625
2015-03-20,371.2183837890625,1374.7747802734375
2015-03-23,368.67926025390625,1330.4368896484375
2015-03-24,366.3756408691406,1336.46484375
2015-03-25,364.5428466796875,1369.8428955078125
2015-03-26,365.31378173828125,1374.1768798828125
2015-03-27,365.7846984863281,1351.4102783203125
2015-03-30,369.2933044433594,1394.353271484375
2015-03-31,379.3389587402344,1409.3983154296875
2015-04-01,382.256591796875,1422.3509521484375
2015-04-06,391.5636291503906,1421.404296875
2015-04-07,400.82904052734375,1425.9876708984375
2015-04-08,414.494140625,1450.298828125
2015-04-09,415.920654296875,1459.31591796875
2015-04-10,417.53179931640625,1449.5513916015625
2015-04-13,411.22100830078125,1433.1614990234375
2015-04-15,411.42877197265625,1416.522216796875
2015-04-16,423.3348693847656,1429.375244140625
2015-04-17,418.2104797363281,1416.9705810546875
2015-04-20,420.8695983886719,1334.02392578125
2015-04-21,403.8021240234375,1340.6497802734375
2015-04-22,395.16912841796875,1319.7757568359375
2015-04-23,394.6844177246094,1356.64111328125
2015-04-24,382.2427673339844,1355.2960205078125
2015-04-27,368.8824157714844,1321.2205810546875
2015-04-28,370.0458068847656,1320.6226806640625
2015-04-29,368.35614013671875,1384.1405029296875
2015-04-30,373.4158935546875,1429.674072265625
2015-05-04,387.11328125,1445.81494140625
2015-05-05,396.1155090332031,1438.442138671875
2015-05-06,395.677001953125,1433.6097412109375
2015-05-07,385.9960021972656,1374.72509765625
2015-05-08,401.129150390625,1419.860107421875
2015-05-11,401.3738098144531,1436.897705078125
2015-05-12,400.8568115234375,1421.8525390625
2015-05-13,399.5272216796875,1427.8309326171875
2015-05-14,404.84552001953125,1436.897705078125
2015-05-15,414.00482177734375,1438.989990234375
2015-05-18,411.84881591796875,1454.2344970703125
2015-05-19,413.78778076171875,1460.909912109375
2015-05-20,415.3758850097656,1445.0677490234375
2015-05-21,422.6008605957031,1455.2308349609375
2015-05-22,416.13763427734375,1465.891845703125
2015-05-25,415.80059814453125,1476.1044921875
2015-05-26,413.9493713378906,1476.6026611328125
2015-05-27,407.3292236328125,1527.267333984375
2015-05-28,408.4925842285156,1524.2784423828125
2015-05-29,389.3199768066406,1521.538330078125
2015-06-01,404.4023132324219,1499.3197021484375
2015-06-02,395.6123352050781,1499.81787109375
2015-06-03,399.3194580078125,1511.0767822265625
2015-06-04,401.8493347167969,1524.626953125
2015-06-05,410.9347839355469,1509.6317138671875
2015-06-08,412.9706726074219,1496.2806396484375
2015-06-09,423.0947570800781,1557.4073486328125
2015-06-10,420.4033508300781,1545.5506591796875
2015-06-11,430.753662109375,1534.241943359375
2015-06-12,431.7831726074219,1495.732666015625
2015-06-15,435.3702392578125,1493.789794921875
2015-06-16,433.9714050292969,1489.5552978515625
2015-06-17,440.9931945800781,1494.8360595703125
2015-06-18,452.691650390625,1511.9234619140625
2015-06-19,476.25,1512.122802734375
2015-06-22,497.3246765136719,1511.4752197265625
2015-06-23,491.11993408203125,1520.0438232421875
2015-06-24,485.08148193359375,1496.43017578125
2015-06-25,497.1953430175781,1505.6962890625
2015-06-26,501.8904113769531,1495.134765625
2015-06-29,503.70013427734375,1509.0340576171875
2015-06-30,502.5968017578125,1526.52001953125
2015-07-01,507.656494140625,1551.92724609375
2015-07-02,503.26153564453125,1596.4644775390625
2015-07-03,513.4641723632812,1675.874267578125
2015-07-06,513.7550048828125,1712.988525390625
2015-07-07,513.177978515625,1759.568359375
2015-07-08,482.51470947265625,1752.7432861328125
2015-07-09,480.1671447753906,1704.22216796875
2015-07-10,480.4874267578125,1720.6285400390625
2015-07-13,487.24334716796875,1724.0694580078125
2015-07-14,485.99066162109375,1733.843505859375
2015-07-15,493.21038818359375,1763.2154541015625
2015-07-16,501.9266052246094,1736.187255859375
2015-07-17,495.2280578613281,1715.292724609375
2015-07-20,494.52520751953125,1698.78662109375
2015-07-21,488.3334045410156,1681.7318115234375
2015-07-22,490.68109130859375,1672.5562744140625
2015-07-23,491.53216552734375,1725.016845703125
2015-07-24,494.3913879394531,1722.323974609375
2015-07-27,499.9471130371094,1712.0015869140625
2015-07-28,510.5758972167969,1725.6654052734375
2015-07-29,520.157470703125,1808.8443603515625
2015-07-30,520.2578735351562,1828.29248046875
2015-07-31,527.0185546875,1840.809326171875
2015-08-03,543.3753051757812,1900.0020751953125
2015-08-04,538.0728759765625,2021.2799072265625
2015-08-05,531.8716430664062,1985.774169921875
2015-08-06,522.156005859375,1920.796875
2015-08-07,524.2789306640625,2004.7237548828125
2015-08-10,520.076171875,1998.04150390625
2015-08-11,521.3766479492188,2000.534912109375
2015-08-12,507.9509582519531,1981.5850830078125
2015-08-13,512.16796875,1930.2216796875
2015-08-14,517.4990844726562,1967.1236572265625
2015-08-17,516.3707275390625,1937.6519775390625
2015-08-18,516.1412353515625,1915.5108642578125
2015-08-19,515.5148315429688,1878.9578857421875
2015-08-20,507.5589904785156,1874.3702392578125
