Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
2015-03-17 00:00:00,310.8761597,799.99823,563.8935547,1761.747803,372.4555969,1464.347412,342.9924316,165.6894836,1032.290161,694.3775024,255.1716309,3270.193604,15382.57227,81.95323181,526.7734375,436.0195618,746.2116699,501.788269,2239.260498,129.4281616,855.0098877,281.571167,876.6166992,426.0562744,54.81799316,193.0760803,71.416008,667.3436279,1021.900208,576.3151855,3467.841309,6788.23291,111.8735275,159.4051208,127.0025711,400.8416138,10510.06836,273.4730835,1013.139404,1112.314941,565.2560425,282.4321289,644.666626,391.9582214,2889.380127,263.3053894,138.5636597,221.7106934,342.4606323
2015-03-18 00:00:00,308.0548706,783.4480591,565.0114136,1748.021973,373.762146,1429.52478,339.177124,170.5009003,1034.975708,695.7456665,257.111145,3260.299805,15480.41016,82.42845154,521.6625366,429.0598145,746.2116699,504.396698,2259.445068,128.3676453,846.1092529,281.5296021,876.6652832,423.9645386,55.23659134,191.1731415,71.56075287,668.9626465,1012.009766,568.4813232,3471.01416,6805.826172,108.1875534,156.8679504,126.1424332,406.3617554,10645.08594,277.5302429,1015.667603,1101.836548,554.0306396,281.7519836,630.6155396,389.3900452,2896.583008,266.3946533,139.3179016,217.575592,353.1624756
2015-03-19 00:00:00,304.4066772,803.2698975,547.8059692,1742.944702,372.603363,1404.615723,338.9103699,166.296051,1039.922974,694.1820679,257.675415,3258.064209,15545.44141,84.18808746,513.5161743,418.9559326,746.2116699,499.0138245,2248.845947,127.5481873,846.6140747,277.6613159,855.2630615,424.1448364,55.3471489,189.2991638,72.35298157,660.3943481,1002.092468,564.6929932,3461.638184,6768.113281,109.6758728,158.2377472,125.6693573,400.5141907,10824.78613,272.0241089,1018.827881,1117.713867,547.7011719,285.8712463,618.928772,392.2973938,2854.451904,270.0836792,137.5579987,218.8335876,347.907959
2015-03-20 00:00:00,299.785614,779.3584595,540.7098389,1736.490479,371.2183838,1374.77478,337.401886,160.4800568,1005.198364,683.8721924,259.7207031,3259.87207,15454.64844,81.52176666,514.0061646,419.0629272,746.2116699,500.7686157,2204.212158,127.3071823,821.9308472,267.9065247,860.3103027,429.2791138,54.35204315,185.9490204,70.1552887,667.3685303,994.9180908,545.0031738,3432.13623,6673.262207,103.1204224,157.9592438,127.4756622,399.5551758,10838.63184,268.7879944,998.3103638,1124.042114,541.5696411,279.162384,610.9573364,380.5711365,2817.007324,263.1474304,134.936142,224.8984375,340.869751
2015-03-23 00:00:00,295.602356,780.946167,539.6891479,1748.452148,368.6792603,1330.43689,340.0642395,157.9088135,990.7146606,685.3380737,260.2496643,3290.362061,15308.47266,82.84993744,516.039856,414.1447449,746.2116699,496.9034424,2227.141357,131.0188751,828.0328979,263.8708801,862.2515259,424.715271,54.01243591,185.9209137,69.94579315,665.4506226,996.4011841,554.4505005,3404.243652,6553.65332,106.416008,159.5063324,128.3358307,393.8713074,10601.97852,265.4070435,995.9766235,1126.711304,545.3771362,281.4551086,591.5919189,378.7782593,2791.304688,264.7242432,137.1629181,222.2969666,337.7845764
2015-03-24 00:00:00,298.7641296,782.5819092,542.4595947,1745.22522,366.3756409,1336.464844,349.4701233,163.5148621,1012.416504,694.0842896,260.9902344,3340.593018,14956.39258,84.21034241,510.8713074,414.9786377,746.2116699,492.2556458,2200.116211,128.0784454,814.0854492,262.2724915,858.8543701,420.5317688,54.84959412,185.4379272,68.75362396,667.8915405,995.9901123,557.5139771,3397.519531,6450.533691,108.2232742,162.0921173,127.2606201,396.6781616,10395.37598,261.349823,1008.520569,1115.586914,526.3887939,277.8457336,594.1589355,375.2894592,2764.171143,261.3502197,139.2460632,224.7605896,341.3518372
2015-03-25 00:00:00,306.2064514,777.9631348,546.4936523,1735.629761,364.5428467,1369.842896,350.4896545,165.2590637,1018.353149,695.2570801,255.1716309,3339.784668,15025.57422,82.09372711,507.6014709,430.7165527,748.0401001,490.5009766,2192.219482,128.1266479,813.3515015,266.477417,845.4597168,421.9868774,55.57618713,185.5512085,69.30970764,660.8179321,972.5194092,566.0726929,3423.517334,6469.043945,104.4318466,160.1526031,126.0133896,395.2513733,10867.59668,256.3749695,1023.009338,1108.036011,535.8829346,274.4485779,591.1866455,378.3906555,2729.144043,264.8188782,141.365097,227.8104706,336.5311584
2015-03-26 00:00:00,295.9428101,763.1448364,529.09375,1724.829712,365.3137817,1374.17688,354.6161804,168.2607422,1033.637817,684.9960327,248.471405,3278.04248,14992.19141,82.31022644,504.5803528,422.2703857,748.0401001,477.5537109,2198.97583,124.8969727,794.5408325,258.9518127,835.0740967,408.1528931,55.21288681,183.0809784,67.40527344,650.2820435,973.5289917,561.746582,3373.036865,6288.43457,102.057312,155.9896088,124.8091888,387.9534912,10866.71387,247.9225159,999.3313599,1081.920776,518.4770508,268.0365601,586.5028687,377.7122192,2758.547119,269.1698914,135.2593842,217.7483521,327.1307983
2015-03-27 00:00:00,296.7210693,748.7596436,531.1350708,1735.672852,365.7846985,1351.410278,334.0745544,165.4577026,1014.885498,678.2041626,245.4386902,3249.216553,14946.45508,81.88874054,507.395874,411.7712402,748.0401001,481.2054749,2175.666504,129.1389465,781.1439209,264.5016785,854.8748779,418.7632141,54.73112869,180.2990112,69.46587372,647.1686401,999.3226929,555.8535767,3419.066162,6260.736816,103.1909943,157.7219849,124.5081406,379.7201233,10710.18945,254.6362152,983.2868652,1082.652954,529.4545898,267.6113281,581.7741699,380.7164612,2764.516357,274.4669189,135.3312073,210.9419556,325.3954163
2015-03-30 00:00:00,300.1747437,776.9528809,547.8059692,1745.22522,369.2933044,1394.353271,345.5214539,169.8056335,1018.720642,686.2175293,253.408371,3258.63501,15455.99902,82.06147766,516.2315674,419.2981873,748.0401001,491.7577209,2233.222168,126.4394836,791.0080566,267.9906616,861.8633423,423.6791992,55.99477005,186.0060883,69.47348785,653.4951172,1029.700195,561.3724365,3467.273193,6379.197754,104.6087341,163.0230865,124.7231522,379.2756348,10558.38086,258.789978,982.8977661,1103.894287,534.0526733,273.8111572,564.7054443,379.2628479,2904.821777,277.8399963,135.8699799,214.8188629,330.0714722
