Date,ADANIPORTS.NS,EICHERMOT.NS,HINDALCO.NS,SBIN.NS,TATASTEEL.NS,VEDL.NS,ZEEL.NS
2015-03-02,321.38299560546875,15749.2666015625,150.92721557617188,291.7303771972656,299.4172668457031,156.73712158203125,330.4571228027344
2015-03-03,327.4146728515625,15252.515625,153.0,292.30999755859375,299.9272155761719,159.5026397705078,335.47064208984375
2015-03-04,322.98822021484375,15386.74609375,147.6011199951172,283.8575439453125,295.68048095703125,152.5708770751953,329.68585205078125
2015-03-05,324.00970458984375,15341.7783203125,142.7807159423828,283.8092346191406,291.519287109375,150.9546356201172,329.7340087890625
2015-03-09,316.1782531738281,15052.89453125,135.74290466308594,280.7663269042969,285.61627197265625,143.0172119140625,324.6241149902344
2015-03-10,308.930419921875,15290.67578125,133.0916748046875,277.820068359375,281.6244812011719,141.9397430419922,329.6375732421875
2015-03-11,299.4450988769531,15440.716796875,125.6682357788086,275.453369140625,276.274169921875,138.41998291015625,336.1937255859375
2015-03-12,301.82861328125,15681.169921875,130.05479431152344,277.0955810546875,282.9839172363281,144.09469604492188,340.2912902832031
2015-03-13,297.93719482421875,15305.1005859375,126.9697494506836,271.2030029296875,277.2939758300781,140.71859741210938,331.8551025390625
2015-03-16,304.7958068847656,15216.134765625,122.24574279785156,272.0724182128906,277.03900146484375,133.24810791015625,341.0625915527344
2015-03-17,310.87615966796875,15382.572265625,129.42816162109375,273.47308349609375,282.43212890625,138.56365966796875,342.46063232421875
2015-03-18,308.05487060546875,15480.41015625,128.36764526367188,277.5302429199219,281.7519836425781,139.31790161132812,353.1624755859375
2015-03-19,304.40667724609375,15545.44140625,127.54818725585938,272.02410888671875,285.8712463378906,137.55799865722656,347.907958984375
2015-03-20,299.7856140136719,15454.6484375,127.30718231201172,268.7879943847656,279.1623840332031,134.93614196777344,340.8697509765625
2015-03-23,295.60235595703125,15308.47265625,131.0188751220703,265.40704345703125,281.4551086425781,137.1629180908203,337.7845764160156
2015-03-24,298.7641296386719,14956.392578125,128.0784454345703,261.3498229980469,277.8457336425781,139.24606323242188,341.3518371582031
2015-03-25,306.2064514160156,15025.57421875,128.12664794921875,256.3749694824219,274.4485778808594,141.36509704589844,336.5311584472656
2015-03-26,295.94281005859375,14992.19140625,124.89697265625,247.92251586914062,268.03656005859375,135.25938415527344,327.13079833984375
2015-03-27,296.7210693359375,14946.455078125,129.13894653320312,254.63621520996094,267.611328125,135.33120727539062,325.3954162597656
2015-03-30,300.17474365234375,15455.9990234375,126.43948364257812,258.78997802734375,273.8111572265625,135.86997985839844,330.07147216796875
2015-03-31,299.834228515625,15349.189453125,124.3667221069336,257.9688720703125,269.0126647949219,136.12136840820312,329.4930114746094
2015-04-01,302.50958251953125,15456.5791015625,127.4517822265625,264.1512451171875,274.87286376953125,136.5883026123047,328.6252136230469
2015-04-06,312.5299987792969,15227.90625,129.8619842529297,265.3104248046875,270.159912109375,137.55799865722656,326.0703125
2015-04-07,315.1081237792969,15421.6494140625,132.0311737060547,262.7988586425781,283.2388610839844,142.04750061035156,324.3348388671875
2015-04-08,310.48699951171875,15944.123046875,132.99526977539062,264.5859680175781,285.4469299316406,139.0664825439453,328.1913757324219
2015-04-09,308.10357666015625,15729.6328125,134.87521362304688,271.29962158203125,293.8976135253906,139.82070922851562,344.2924499511719
2015-04-10,311.119384765625,15659.873046875,132.94705200195312,276.032958984375,291.05218505859375,145.3517608642578,334.6993103027344
2015-04-13,321.8208312988281,15505.9775390625,131.21173095703125,276.56427001953125,293.1755676269531,144.05882263183594,334.3136291503906
2015-04-15,316.9078674316406,15314.9375,130.2958221435547,280.138427734375,286.7635498046875,148.1531982421875,331.42120361328125
2015-04-16,318.6103210449219,15280.6826171875,132.2239990234375,282.4568176269531,286.8054504394531,146.6088409423828,327.95037841796875
2015-04-17,313.9892883300781,14773.0693359375,134.73062133789062,281.8289489746094,293.8548278808594,151.7447967529297,324.4794616699219
2015-04-20,304.9903869628906,14243.2646484375,133.2845001220703,277.86834716796875,292.5382080078125,149.33840942382812,316.04327392578125
2015-04-21,305.91461181640625,13807.4384765625,129.4763641357422,279.36566162109375,295.7659912109375,151.63702392578125,314.06683349609375
2015-04-22,305.1849365234375,13861.3740234375,129.81378173828125,274.1976013183594,298.39837646484375,151.56521606445312,311.2708740234375
2015-04-23,309.9519348144531,14228.79296875,130.19943237304688,268.2084045410156,313.7709655761719,151.9243927001953,317.1038513183594
2015-04-24,307.7143249511719,14203.2236328125,126.43948364257812,266.1798095703125,314.6623840332031,147.18348693847656,309.2943420410156
2015-04-27,297.64532470703125,14251.9501953125,125.3790054321289,257.9688720703125,313.30389404296875,150.84689331054688,312.62060546875
2015-04-28,297.7912292480469,14641.7529296875,126.63232421875,263.2335510253906,315.29888916015625,152.21170043945312,309.2943420410156
2015-04-29,304.3580017089844,14702.634765625,125.90927124023438,262.6539611816406,314.1952819824219,148.72787475585938,309.24615478515625
